COD_ANTERIOR|CODIGO_NUEVO|PRODUCTO
5300010000030|5300019000030|GASEOSA POSTOBON 400ML COLOMBIANA
5300010000049|5300019000049|GASEOSA POSTOBON 400ML MANZANA
5300010000144|5300019000144|GASEOSA POSTOBON 400ML MOUNTAIN DEW
5300010000057|5300019000057|GASEOSA POSTOBON 400ML NARANJA
5300010000067|5300019000067|GASEOSA POSTOBON 400ML PEPSI
5300010000141|5300019000141|GASEOSA POSTOBON 400ML PEPSI LIGHT
5300010000099|5300019000099|GASEOSA POSTOBON 400ML SEVEN UP
5300010000145|5300019000145|GASEOSA POSTOBON 400ML SR TORONJO
5300010000117|5300019000117|GASEOSA POSTOBON 400ML UVA
5300010000146|5300019000146|GASEOSA PREMIO 400 ML
5300010000083|5300019000083|GASEOSA PREMIO ROJO 1.75LT
5300010000084|5300019000084|GASEOSA PREMIO ROJO 2.5LT
5300010000085|5300019000085|GASEOSA PREMIO ROJO 3.0LT
5300010000086|5300019000086|GASEOSA PREMIO ROJO 500ML
5300010000087|5300019000087|GASEOSA QUATRO 1.5LT
5300010000088|5300019000088|GASEOSA QUATRO 2.5LT
5300010000089|5300019000089|GASEOSA QUATRO 3.0LT
5300010000090|5300019000090|GASEOSA QUATRO 400ML
5300010000091|5300019000091|GASEOSA SCHWEPPES 300ML GINGER
5300010000100|5300019000100|GASEOSA SCHWEPPES 300ML SODA
5300010000111|5300019000111|GASEOSA SPRITE 1.5LT
5300010000108|5300019000108|GASEOSA SPRITE 2.5LT
5300010000128|5300019000128|GASEOSA SPRITE 3.0LT
5500010000001|5500019000001|CERVEZA AGUILA BOTELLA 330ML                                
5500010000005|5500019000005|CERVEZA AGUILA LIGHT BOTELLA 330ML                          
5500010000006|5500019000006|CERVEZA AGUILA LIGHT BOTELLA 330ML X 6                      
5500010000007|5500019000007|CERVEZA AGUILA LIGHT LATA 330ML X 6                         
5500010000008|5500019000008|CERVEZA AGUILA LIGHT LATA 330ML                             
5500010000010|5500019000010|CERVEZA CLUB COLOMBIA ROJA BOTELLA 330ML                    
5500010000011|5500019000011|CERVEZA CLUB COLOMBIA BOTELLA 330ML                         
5500010000012|5500019000012|CERVEZA CLUB COLOMBIA BOTELLA 330ML X 6                     
5500010000021|5500019000021|CERVEZA CORONA BOTELLA 355ML                                
5500010000022|5500019000022|CERVEZA CORONA BOTELLA 355ML X 6                            
5500010000023|5500019000023|CERVEZA CORONA EXTRA BOTELLA 710ML                          
5500010000026|5500019000026|CERVEZA HEINEKEN BARRIL 5 LT                                
5500010000027|5500019000027|CERVEZA HEINEKEN BOTELLA 330ML                              
5500010000028|5500019000028|CERVEZA HEINEKEN BOTELLA 650ML                              
5500010000029|5500019000029|CERVEZA HEINEKEN BOTELLA 330ML X 6                          
5500010000030|5500019000030|CERVEZA HEINEKEN LATA 330ML                                 
5500010000031|5500019000031|CERVEZA HEINEKEN LATA 330ML X 6                             
5500010000032|5500019000032|CERVEZA MILLER BOTELLA 355ML                                
5500010000033|5500019000033|CERVEZA MILLER BOTELLA 355ML X 6                            
5500010000037|5500019000037|CERVEZA MODELO ESPECIAL 355ML                               
5500010000038|5500019000038|CERVEZA NEGRA MODELO 355ML                                  
5500010000039|5500019000039|CERVEZA PERONI BOTELLA 330ML                                
5500010000040|5500019000040|CERVEZA SOL 355ML                                           
5500010000046|5500019000046|CERVEZA REDDS BOTELLA 250ML                                 
5500010000047|5500019000047|CERVEZA REDDS LATA 269ML                                    
5500010000049|5500019000049|REFAJO COLA & POLA 330ML LATA                               
5500010000050|5500019000050|CERVEZA CLUB COLOMBIA NEGRA BOTELLA 330ML                   
5500010000055|5500019000055|CERVEZA BUDWEISER LATA 269ML                                
5500010000059|5500019000059|CERVEZA BUDWEISER BOT 315ML X 6                             
5500010000060|5500019000060|CERVEZA BUDWEISER BOT 315ML                                 
5500010000063|5500019000063|CERVEZA POKER LATA 473ML                                    
5500010000064|5500019000064|CERVEZA POKER LATA 473ML X 6                                
5500010000068|5500019000068|CERVEZA BUDWEISER LATA 269ML X 6                            
5500010000069|5500019000069|REFAJO COLA & POLA 1500ML                                   
5500010000071|5500019000071|CERVEZA CLUB COLOMBIA 900ML                                 
5500010000077|5500019000077|CERVEZA AGUILA CERO BOT 330ML                               
5500010000078|5500019000078|CERVEZA AGUILA CERO BOT 330ML X 6                           
5500010000082|5500019000082|CERVEZA CLUB COLOMBIA OKTOBERFEST 330ML X6                  
5500010000083|5500019000083|CERVEZA CLUB COLOMBIA OKTOBERFEST 330ML                     
5500010000084|5500019000084|CERVEZA GROLSCH 450ML                                       
5500010000085|5500019000085|CERVEZA STELLA ARTOIS 330ML BOTELLA                         
5500010000086|5500019000086|CERVEZA COORS LIGHT BOTELLA 355ML                           
5500010000087|5500019000087|CERVEZA HEINEKEN LATA 250ML                                 
5500010000088|5500019000088|CERVEZA TECATE LATA 355ML                                   
5500010000089|5500019000089|CERVEZA AGUILA CERO LATA 355ML                              
